Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","SMD-0603",146.6400,-93.1800,0.0000,top
"C2","100nF","SMD-0603",161.1320,-97.6040,-90.0000,top
"C3","100nF","SMD-0603",155.6275,-92.5800,180.0000,top
"C4","100nF","SMD-0603",161.6400,-94.3020,90.0000,top
"C5","1uF","SMD-0603",161.8400,-102.3800,0.0000,top
"C6","1uF","SMD-0603",154.9220,-101.7700,0.0000,top
"C7","1uF","SMD-0603",161.8400,-104.0800,0.0000,top
"C8","1uF","SMD-0603",154.9220,-104.0560,0.0000,top
"C9","100nF","SMD-0603",164.9400,-101.1800,180.0000,top
"C10","100nF","SMD-0603",169.3600,-91.9700,0.0000,top
"C11","10uF","SMD-0805",169.0400,-101.1800,180.0000,top
"D1","BZV55C-5,6V","D_MiniMELF",168.7400,-103.1800,180.0000,top
"J1","SM07B-GHS-TB","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",175.1020,-97.8800,90.0000,top
"R1","-","SMD-0603",162.6815,-92.0160,180.0000,top
"R2","0R","SMD-0603",159.3540,-92.0160,180.0000,top
"R4","10k","SMD-0603",154.4525,-99.0800,90.0000,top
"R5","10k","SMD-0603",152.6525,-99.0800,90.0000,top
"R6","10k","SMD-0603",144.6275,-91.6800,180.0000,top
"R7","10k","SMD-0603",148.3400,-91.6800,0.0000,top
"R8","10k","SMD-0603",152.2420,-94.0480,0.0000,top
"R9","10k","SMD-0603",165.8040,-91.9700,0.0000,top
"U1","SDP3x","SDP3x",147.0400,-97.8800,180.0000,top
"U2","ICM-20948","InvenSense_QFN-24_3x3mm_P0.4mm",157.5760,-95.8260,90.0000,top
"U4","MIC5504-3.3YM5-TR","SOT-23-5",158.3400,-102.8800,-90.0000,top
"U5","MIC5504-1.8YM5-TR","SOT-23-5",151.6200,-102.9560,-90.0000,top
"U6","TXS0108EPW","TSSOP-20_4.4x6.5mm_P0.65mm",167.0740,-96.5420,0.0000,top
